12836,CS169_1x_2012_Fall_L2V1,BerkeleyX/CS169.1x/2012_Fall
77671,600x_l2_p2,MITx/6.00x/2012_Fall
461506,600x_l2_v2,MITx/6.00x/2012_Fall
507385,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
115501,600x_l2_p9,MITx/6.00x/2012_Fall
406202,6002x_Fall2012_General,MITx/6.002x/2012_Fall
238637,cs1881x_self_diagnostic_events,BerkeleyX/CS188.1x/2012_Fall
350697,6002x_Fall2012_Feedback,MITx/6.002x/2012_Fall
277139,cs1881x_L2_quiz_10,BerkeleyX/CS188.1x/2012_Fall
391640,600x_l3_v6,MITx/6.00x/2012_Fall
480135,cs1881x_L2_quiz_2,BerkeleyX/CS188.1x/2012_Fall
459842,cs1881x_project_1_q1,BerkeleyX/CS188.1x/2012_Fall
262793,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
235443,1x_2012_Fall_edX_Tutorial,BerkeleyX/CS169.1x/2012_Fall
331952,cs188_hw3_q8,BerkeleyX/CS188/fa12
470712,600x_ps2_q3,MITx/6.00x/2012_Fall
115501,600x_l2_p4,MITx/6.00x/2012_Fall
563583,600x_l2_p9,MITx/6.00x/2012_Fall
473033,600x_l4_p12,MITx/6.00x/2012_Fall
436749,6002x_Fall2012_General,MITx/6.002x/2012_Fall
200821,cs1881x_python_refresher,BerkeleyX/CS188.1x/2012_Fall
486561,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
331952,cs188_lecture_5,BerkeleyX/CS188/fa12
172304,6002x_Fall2012_General,MITx/6.002x/2012_Fall
470615,600x_l2_v2,MITx/6.00x/2012_Fall
372489,5_Simple_Power,MITx/6.002x/2012_Fall
340699,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
381797,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
50241,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
128276,6002x_S4E2_Boolean_Functions,MITx/6.002x/2012_Fall
271448,6002x_Fall2012_General,MITx/6.002x/2012_Fall
184827,6002x_chain_saw,MITx/6.002x/2012_Fall
422989,600x_l1_v1,MITx/6.00x/2012_Fall
511509,600x_l4_p9,MITx/6.00x/2012_Fall
21687,6002x_Fall2012_General,MITx/6.002x/2012_Fall
328005,cs188_hw1_q7,BerkeleyX/CS188/fa12
50725,600x_l2_p2,MITx/6.00x/2012_Fall
323192,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
266430,cs1881x_L1_Part_2,BerkeleyX/CS188.1x/2012_Fall
344720,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
339481,600x_ps1_Mac,MITx/6.00x/2012_Fall
85949,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
495873,600x_l1_p1,MITx/6.00x/2012_Fall
373533,600x_ps1_Linux,MITx/6.00x/2012_Fall
266946,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
521632,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
191598,cs1881x_L3_quiz_4,BerkeleyX/CS188.1x/2012_Fall
149350,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
331321,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
29374,6002x_analyzing_nonlinear_circuits_exercise,MITx/6.002x/2012_Fall
438770,cs1881x_L3_quiz_3,BerkeleyX/CS188.1x/2012_Fall
375724,CS169_1x_2012_Fall_L1P2,BerkeleyX/CS169.1x/2012_Fall
382186,6002x_Fall2012_General,MITx/6.002x/2012_Fall
271670,6002x_Lab_0_Using_the_Tools,MITx/6.002x/2012_Fall
389071,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
498058,cs1881x_hw1_q10,BerkeleyX/CS188.1x/2012_Fall
472670,600x_l2_p10,MITx/6.00x/2012_Fall
